Id,Predicted
0,6
1,5
2,6
3,4
4,3
5,3
6,4
7,6
8,5
9,6
10,3
11,2
12,5
13,0
14,3
15,6
16,4
17,2
18,0
19,3
20,3
21,2
22,3
23,2
24,3
25,0
26,3
27,1
28,1
29,3
30,0
31,5
32,2
33,1
34,6
35,5
36,1
37,6
38,6
39,4
40,3
41,6
42,4
43,6
44,4
45,0
46,3
47,3
48,0
49,3
50,4
51,0
52,2
53,2
54,2
55,1
56,1
57,4
58,4
59,5
60,4
61,4
62,3
63,1
64,6
65,0
66,3
67,2
68,3
69,0
70,5
71,1
72,4
73,2
74,3
75,3
76,6
77,3
78,3
79,5
80,6
81,3
82,0
83,4
84,1
85,0
86,6
87,0
88,5
89,2
90,1
91,3
92,0
93,4
94,0
95,4
96,3
97,4
98,6
99,4
100,3
101,3
102,5
103,5
104,4
105,2
106,5
107,2
108,4
109,2
110,3
111,2
112,0
113,5
114,3
115,2
116,2
117,5
118,2
119,0
120,3
121,0
122,3
123,4
124,2
125,3
126,1
127,6
128,3
129,2
130,5
131,4
132,4
133,0
134,3
135,5
136,4
137,2
138,5
139,4
140,5
141,0
142,0
143,2
144,5
145,6
146,4
147,0
148,2
149,2
150,3
151,0
152,4
153,4
154,3
155,0
156,2
157,6
158,4
159,4
160,0
161,5
162,6
163,5
164,3
165,0
166,0
167,6
168,6
169,3
170,4
171,5
172,0
173,6
174,0
175,3
176,3
177,2
178,3
179,5
180,0
181,2
182,3
183,2
184,0
185,2
186,6
187,0
188,0
189,3
190,5
191,3
192,5
193,0
194,0
195,3
196,6
197,6
198,2
199,6
200,3
201,0
202,4
203,3
204,5
205,1
206,1
207,6
208,0
209,5
210,3
211,4
212,6
213,4
214,3
215,3
216,5
217,1
218,1
219,2
220,1
221,5
222,6
223,4
224,2
225,4
226,6
227,3
228,1
229,0
230,1
231,3
232,3
233,2
234,6
235,3
236,1
237,1
238,5
239,3
240,2
241,3
242,1
243,3
244,3
245,4
246,6
247,0
248,2
249,1
250,3
251,6
252,1
253,5
254,0
255,1
256,0
257,1
258,5
259,6
260,3
261,5
262,5
263,5
264,3
265,3
266,4
267,4
268,1
269,6
270,0
271,5
272,2
273,4
274,1
275,4
276,6
277,4
278,0
279,1
280,3
281,2
282,2
283,5
284,3
285,1
286,4
287,0
288,2
289,2
290,1
291,1
292,0
293,4
294,6
295,1
296,3
297,1
298,6
299,6
300,0
301,5
302,6
303,5
304,0
305,6
306,6
307,5
308,2
309,3
310,5
311,5
312,5
