Id,Predicted
0,6
1,2
2,6
3,0
4,3
5,3
6,4
7,6
8,5
9,6
10,5
11,5
12,5
13,0
14,0
15,0
16,4
17,3
18,4
19,3
20,0
21,2
22,3
23,2
24,6
25,0
26,0
27,1
28,6
29,3
30,0
31,1
32,1
33,1
34,6
35,5
36,1
37,6
38,5
39,4
40,0
41,3
42,0
43,6
44,4
45,6
46,3
47,1
48,3
49,3
50,4
51,0
52,5
53,2
54,1
55,1
56,6
57,3
58,2
59,5
60,4
61,4
62,2
63,1
64,6
65,4
66,3
67,5
68,0
69,0
70,3
71,6
72,0
73,1
74,0
75,3
76,6
77,0
78,0
79,6
80,6
81,0
82,0
83,0
84,1
85,0
86,6
87,0
88,3
89,6
90,1
91,6
92,0
93,4
94,0
95,4
96,0
97,4
98,6
99,4
100,0
101,3
102,3
103,6
104,4
105,1
106,5
107,1
108,4
109,2
110,3
111,2
112,0
113,3
114,2
115,5
116,2
117,5
118,2
119,0
120,6
121,0
122,0
123,4
124,2
125,3
126,3
127,6
128,0
129,2
130,5
131,4
132,3
133,0
134,3
135,3
136,4
137,1
138,5
139,4
140,3
141,0
142,4
143,6
144,5
145,5
146,0
147,0
148,5
149,1
150,3
151,0
152,1
153,4
154,0
155,4
156,2
157,3
158,4
159,4
160,4
161,3
162,6
163,5
164,3
165,0
166,0
167,5
168,6
169,3
170,4
171,3
172,0
173,5
174,0
175,3
176,0
177,6
178,0
179,6
180,0
181,5
182,3
183,2
184,0
185,2
186,5
187,4
188,0
189,0
190,3
191,6
192,2
193,4
194,4
195,2
196,6
197,6
198,2
199,6
200,0
201,6
202,3
203,0
204,5
205,1
206,2
207,5
208,0
209,3
210,6
211,4
212,0
213,4
214,0
215,6
216,5
217,2
218,3
219,2
220,1
221,3
222,6
223,4
224,1
225,2
226,6
227,0
228,2
229,6
230,1
231,6
232,3
233,2
234,6
235,2
236,1
237,6
238,5
239,0
240,6
241,3
242,1
243,0
244,3
245,4
246,5
247,4
248,1
249,1
250,3
251,6
252,1
253,5
254,0
255,1
256,4
257,1
258,2
259,5
260,0
261,3
262,3
263,3
264,3
265,0
266,4
267,3
268,2
269,6
270,0
271,3
272,2
273,4
274,3
275,4
276,6
277,4
278,0
279,2
280,3
281,2
282,2
283,5
284,0
285,1
286,4
287,4
288,6
289,2
290,2
291,1
292,0
293,4
294,6
295,1
296,6
297,1
298,5
299,6
300,0
301,5
302,6
303,5
304,0
305,6
306,6
307,2
308,2
309,2
310,6
311,0
312,3
313,0
314,1
315,0
316,3
317,1
318,6
319,3
320,3
321,6
322,3
323,6
324,3
325,3
326,2
327,0
328,2
329,2
330,3
331,6
332,0
333,0
334,6
335,6
336,1
337,3
338,0
339,3
340,0
341,1
342,3
343,6
344,5
345,3
346,2
347,3
348,2
349,3
350,3
351,3
352,6
353,2
354,1
355,4
356,6
357,1
358,4
359,5
360,6
361,5
362,1
363,0
364,3
365,0
366,4
367,0
368,6
369,2
370,5
371,5
372,0
373,6
374,4
375,3
376,6
377,3
378,5
379,3
380,6
381,3
382,3
383,1
384,5
385,1
386,4
387,5
388,2
389,5
390,2
391,3
392,2
393,1
394,5
395,3
396,5
397,0
398,0
399,2
400,0
401,5
402,2
403,0
404,1
405,2
406,0
407,2
408,0
409,2
410,5
411,6
412,0
413,1
414,5
415,5
416,6
417,6
418,4
419,4
420,1
421,4
422,3
423,4
424,0
425,3
426,5
427,4
428,4
429,4
430,3
431,1
432,3
433,6
434,3
435,2
436,6
437,4
